StockCode,Market Cap (intraday)5:,Enterprise Value,Price/Sales (ttm):,Price/Book (mrq):,Enterprise Value/Revenue (ttm)3:,Enterprise Value/EBITDA (ttm)6:,Profit Margin (ttm):,Operating Margin (ttm):,Return on Assets (ttm):,Return on Equity (ttm):,Revenue (ttm):,Revenue Per Share (ttm):,Qtrly Revenue Growth (yoy):,Gross Profit (ttm):,EBITDA (ttm)6:,Net Income Avl to Common (ttm):,Diluted EPS (ttm):,Total Cash (mrq):,Total Cash Per Share (mrq):,Total Debt (mrq):,Total Debt/Equity (mrq):,Current Ratio (mrq):,Book Value Per Share (mrq):,Operating Cash Flow (ttm):,Levered Free Cash Flow (ttm):,52-Week Change3:,52-Week High (17/01/2017)3:,52-Week Low (08/12/2016)3:,50-Day Moving Average3:,200-Day Moving Average3:,Avg Vol (3 month)3:,Avg Vol (10 day)3:,Shares Outstanding5:,Float:
14D,44996624,37127708,109.4664500000,2.7439022000,90.3230000000,-14.5080000000,.0000000000,-7.0581203000,-.1040800000,-.1836199900,411054,.0020000000,,,-2559192,-2851625,-.0170000000,4395479,.0250000000,2619581,18.5350000000,10.3790000000,.0820000000,-2607214,-2618890,.3235293600,.3650000000,.0600000000,.2574193500,.1784057900,387064,653356,199984992,116740217
1AD,30647000,24318026,8.0065710000,5.4347825000,6.3530000000,-4.1940000000,-1.5691900000,-1.5256700000,-.4501200000,-1.0732300000,3827731,.0230000000,-.0230000000,-3354798,-5798022,-6006456,-.0370000000,3366503,.0170000000,2191327,59.1920000000,2.1000000000,.0230000000,-5889212,-3647484,.2500000000,.1850000000,.0400000000,.1344354900,.1177832100,514934,434017,245176000,100965315
1AG,7964546,11673251,8.9447870000,1.1621622000,13.1100000000,-6.8660000000,-1.6919701000,-1.9444901000,-.0937300000,-.2265900100,890412,.0060000000,,-627724,-1700049,-1506547,-.0100000000,3283222,.0180000000,6991927,102.4230000000,2.3400000000,.0370000000,-1403354,-2488905,.1315790400,.0650000000,.0280000000,.0502580670,.0486666670,95941,3627,185222000,85466992
1AL,26003200,,,,,,,,,,,,,18300930,,,,,,,,,,,,,.8600000000,.2000000000,.2000000000,.5645522500,0,0,,
1ST,13163127,12601068,2.6592160000,5.1666665000,2.5460000000,-2.6700000000,-1.0115200000,-.9854400000,-.4483600000,-1.7996899000,4950003,.0130000000,.1690000000,612352,-4718863,-5007040,-.0130000000,2053926,.0050000000,1491870,61.3060000000,1.3290000000,.0060000000,-4344772,-2684153,-.4918033000,.0800000000,.0180000000,.0337258060,.0347427540,2007488,535364,424616992,181914374
2BE,17433192,17615240,.8251741000,.8000000000,.8340000000,-3.7590000000,-.2209499900,-.2836300000,-.1298400000,-.2414700000,21126684,.0870000000,-.4030000000,-2105567,-4685786,-4667873,-.0190000000,776092,.0030000000,1012907,5.9460000000,.6860000000,.0700000000,-2714384,-13332364,-.4909091000,.3300000000,.0440000000,.0587096770,.0786973300,528193,150373,311307008,106939374
360,616936064,517925728,8.5513350000,8.2869380000,7.1790000000,-26.8510000000,-.2640700000,-.2731399800,-.1356400000,-.2550100000,72145000,.4910000000,.5370000000,56691000,-19289000,-19051000,-.1300000000,58157000,.3930000000,3769000,5.4540000000,4.8370000000,.4670000000,-19289000,-7871250,.2208200700,4.4900000000,1.5100000000,3.8077419000,3.8347826000,388370,425848,159415008,52228434
3DA,122558168,110134928,1051.2434000000,13.5106380000,944.6830000000,-19.7380000000,.0000000000,-49.8580320000,-.5459500000,-1.3324100000,116584,.0010000000,,1561,-5579789,-5777946,-.0400000000,4019209,.0230000000,3122070,38.1030000000,3.8440000000,.0470000000,-4224796,-5934735,1.1896553000,.8350000000,.0640000000,.5720967700,.4958152200,600437,767477,193004992,110241730
3DP,335366496,333457120,273.0630500000,249.9999800000,271.5080000000,-136.7920000000,-2.0562801000,-2.0304900000,-.5992400000,-2.5838501000,1228165,.0020000000,1.1100000000,1082072,-2437693,-2525453,-.0050000000,2336873,.0030000000,427423,35.0680000000,1.5250000000,.0020000000,-802406,37683,10.1111110000,.6750000000,.0150000000,.5056451600,.4077173800,2540047,2181059,670732992,400991084
3PL,188303408,166021632,3.4172986000,7.1808515000,3.0130000000,37.8270000000,.0281300000,.0539200000,.0282800010,.0609100000,55103000,.3950000000,.0460000000,21491000,4389000,1550000,.0110000000,27126000,.1940000000,4844000,18.4410000000,1.0880000000,.1880000000,13150000,2279673,.6875000000,1.4400000000,.6000000000,1.3151613000,1.2708334000,252424,149044,139484000,101480313
4CE,25633426,14774455,-272.1286000000,,-156.8480000000,-3.5190000000,.0000000000,45.2434730000,-3.9530802000,,-94196,.0000000000,-1.0000000000,,-4198618,-4396503,-.0080000000,57188,.0000000000,397434,,.0500000000,-.0040000000,-436730,-1965172,1.1666667000,.0380000000,.0120000000,.0237096770,.0157173900,7404385,9900265,985900992,455826998
4DS,322611104,318939360,9627.0210000000,245.0000000000,9517.4530000000,-59.4320000000,.0000000000,-163.5777300000,-1.2038700000,-2.7209601000,33511,.0000000000,-.5830000000,33511,-5366459,-5469276,-.0050000000,2509785,.0020000000,574239,35.5190000000,2.0470000000,.0010000000,-3766897,-1756975,2.9516130000,.2800000000,.0250000000,.1593548400,.0943695700,7961498,12162349,1316780032,1070988751
